M_C;M_A;IS_SYM;P;T;Rho
239.212;280.146;0;70;353.45;1327.422263
239.212;280.146;0;70;373.15;1313.609758
239.212;280.146;0;80;295.15;1375.353069
239.212;280.146;0;80;313.15;1362.141325
239.212;280.146;0;80;333.45;1347.624806
239.212;280.146;0;80;353.45;1333.671595
239.212;280.146;0;80;373.15;1320.145424
239.212;280.146;0;90;295.15;1380.594342
239.212;280.146;0;90;313.15;1367.604141
239.212;280.146;0;90;333.45;1353.352036
239.212;280.146;0;90;353.45;1339.666942
239.212;280.146;0;90;373.15;1326.402202
239.212;280.146;0;100;295.15;1385.656538
239.212;280.146;0;100;313.15;1372.876639
239.212;280.146;0;100;333.45;1358.870975
239.212;280.146;0;100;353.45;1345.432853
239.212;280.146;0;100;373.15;1332.408292
239.212;280.146;0;110;295.15;1390.553607
239.212;280.146;0;110;313.15;1377.974538
239.212;280.146;0;110;333.45;1364.199792
239.212;280.146;0;110;353.45;1350.990301
239.212;280.146;0;110;373.15;1338.187641
239.212;280.146;0;120;295.15;1395.297782
239.212;280.146;0;120;313.15;1382.911542
239.212;280.146;0;120;333.45;1369.354229
239.212;280.146;0;120;353.45;1356.357359
239.212;280.146;0;120;373.15;1343.760769
239.212;280.146;0;130;295.15;1399.899855
239.212;280.146;0;130;313.15;1387.699677
239.212;280.146;0;130;333.45;1374.348032
239.212;280.146;0;130;353.45;1361.549723
239.212;280.146;0;130;373.15;1349.145409
239.212;280.146;0;140;295.15;1404.369401
239.212;280.146;0;140;313.15;1392.34956
239.212;280.146;0;140;333.45;1379.193273
239.212;280.146;0;140;353.45;1366.58112
239.212;280.146;0;140;373.15;1354.357002
239.212;280.146;0;150;295.15;1408.714959
239.212;280.146;0;150;313.15;1396.870617
239.212;280.146;0;150;333.45;1383.900623
239.212;280.146;0;150;353.45;1371.463632
239.212;280.146;0;150;373.15;1359.409081
111.092;94.981;0;0.101;273.15;1259.09
111.092;94.981;0;0.101;283.15;1252.15
111.092;94.981;0;0.101;293.15;1245.28
111.092;94.981;0;0.101;298.15;1241.72
111.092;94.981;0;0.101;313.15;1231.53
111.092;94.981;0;0.101;333.15;1218.06
111.092;94.981;0;0.101;353.15;1204.65
111.092;94.981;0;0.101;373.15;1191.84
111.092;94.981;0;0.101;393.15;1178.9
111.092;94.981;0;0.101;413.15;1166.37
111.092;94.981;0;1.769;273.15;1259.7
111.092;94.981;0;1.769;283.15;1252.71
111.092;94.981;0;1.769;293.15;1245.52
111.092;94.981;0;1.769;298.15;1242.07
111.092;94.981;0;1.769;313.15;1231.64
111.092;94.981;0;1.769;333.15;1218.54
111.092;94.981;0;1.769;353.15;1205.36
111.092;94.981;0;1.769;373.15;1192.16
111.092;94.981;0;1.769;393.15;1179.36
111.092;94.981;0;1.769;413.15;1166.8
111.092;94.981;0;5.281;273.15;1260.97
111.092;94.981;0;5.281;283.15;1253.85
111.092;94.981;0;5.281;293.15;1247.14
111.092;94.981;0;5.281;298.15;1243.58
111.092;94.981;0;5.281;313.15;1233.9
111.092;94.981;0;5.281;333.15;1219.97
111.092;94.981;0;5.281;353.15;1207.07
111.092;94.981;0;5.281;373.15;1193.81
111.092;94.981;0;5.281;393.15;1181.35
111.092;94.981;0;5.281;413.15;1168.83
111.092;94.981;0;10.08;273.15;1262.69
111.092;94.981;0;10.08;283.15;1255.67
111.092;94.981;0;10.08;293.15;1248.84
111.092;94.981;0;10.08;298.15;1245.44
111.092;94.981;0;10.08;313.15;1235.72
111.092;94.981;0;10.08;333.15;1222.1
111.092;94.981;0;10.08;353.15;1208.96
111.092;94.981;0;10.08;373.15;1196.43
111.092;94.981;0;10.08;393.15;1183.75
111.092;94.981;0;10.08;413.15;1171.32
111.092;94.981;0;20.06;273.15;1266.21
111.092;94.981;0;20.06;283.15;1259.27
111.092;94.981;0;20.06;293.15;1252.47
111.092;94.981;0;20.06;298.15;1249.07
111.092;94.981;0;20.06;313.15;1238.48
111.092;94.981;0;20.06;333.15;1226.05
111.092;94.981;0;20.06;353.15;1213.14
111.092;94.981;0;20.06;373.15;1200.9
111.092;94.981;0;20.06;393.15;1188.44
111.092;94.981;0;20.06;413.15;1176.23
111.092;94.981;0;30;273.15;1269.62
111.092;94.981;0;30;283.15;1262.72
111.092;94.981;0;30;293.15;1256
111.092;94.981;0;30;298.15;1252.65
111.092;94.981;0;30;313.15;1242.84
111.092;94.981;0;30;333.15;1229.96
111.092;94.981;0;30;353.15;1217.27
111.092;94.981;0;30;373.15;1205
111.092;94.981;0;30;393.15;1193.03
111.092;94.981;0;30;413.15;1181.1
111.092;94.981;0;40;273.15;1272.98
111.092;94.981;0;40;283.15;1266.15
111.092;94.981;0;40;293.15;1259.37
111.092;94.981;0;40;298.15;1256.13
111.092;94.981;0;40;313.15;1246.53
111.092;94.981;0;40;333.15;1233.86
111.092;94.981;0;40;353.15;1221.24
111.092;94.981;0;40;373.15;1209.32
